stimulusWord,theCondition,corrResp,stimulusWord_2,theCondition_2,corrResp_2,Conditions_1.thisRepN,Conditions_1.thisTrialN,Conditions_1.thisN,Conditions_1.thisIndex,Conditions_2.thisRepN,Conditions_2.thisTrialN,Conditions_2.thisN,Conditions_2.thisIndex,Instruction_image.started,Instruction_image.stopped,Begin_task.keys,Begin_task.rt,Begin_task.started,Begin_task.stopped,Warning_signal_1.started,Warning_signal_1.stopped,The_word_1.started,The_word_1.stopped,Response_1.keys,Response_1.rt,Response_1.started,Response_1.stopped,Warning_signal_2.started,Warning_signal_2.stopped,The_word_2.started,The_word_2.stopped,Response_2.keys,Response_2.rt,Response_2.started,Response_2.stopped,The_end_text.started,The_end_text.stopped,End_task.keys,End_task.rt,End_task.started,End_task.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,75.49888590100454,None,space,47.85826935200021,75.49888590100454,None,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_01_1516,Project_RL,2021.2.3,None,
PYSK,nonword,right,,,,0,0,0,14,,,,,,,,,,,123.40195110702189,124.40132091002306,124.39135269500548,None,right,0.7304729049792513,124.39135269500548,None,,,,,,,,,,,,,,,7,001,2021_Dec_01_1516,Project_RL,2021.2.3,None,
NURSE,word,left,,,,0,1,1,3,,,,,,,,,,,125.15808826201828,126.15282737003872,126.12969850201625,None,left,0.5300624630181119,126.12969850201625,None,,,,,,,,,,,,,,,7,001,2021_Dec_01_1516,Project_RL,2021.2.3,None,
NIGHT,word,left,,,,0,2,2,4,,,,,,,,,,,126.67886495700805,127.68206333002308,127.66816451202612,None,right,0.5095858660060912,127.66816451202612,None,,,,,,,,,,,,,,,7,001,2021_Dec_01_1516,Project_RL,2021.2.3,None,
DRIN,nonword,right,,,,0,3,3,15,,,,,,,,,,,128.1995596960187,129.20357945299475,129.17943160503637,None,left,0.5331685509881936,129.17943160503637,None,,,,,,,,,,,,,,,7,001,2021_Dec_01_1516,Project_RL,2021.2.3,None,
TRFIC,nonword,right,,,,0,4,4,17,,,,,,,,,,,129.7389743780368,130.73863775102654,130.72821142501198,None,left,0.6534753399901092,130.72821142501198,None,,,,,,,,,,,,,,,7,001,2021_Dec_01_1516,Project_RL,2021.2.3,None,
STRI,nonword,right,,,,0,5,5,13,,,,,,,,,,,131.40937428502366,132.42965259001357,132.41202937299386,None,right,0.5195920030237176,132.41202937299386,None,,,,,,,,,,,,,,,7,001,2021_Dec_01_1516,Project_RL,2021.2.3,None,
CAFE,word,left,,,,0,6,6,5,,,,,,,,,,,132.9486097160261,133.9499755440047,133.92783505498664,None,left,0.5316615690244362,133.92783505498664,None,,,,,,,,,,,,,,,7,001,2021_Dec_01_1516,Project_RL,2021.2.3,None,
XLFE,nonword,right,,,,0,7,7,11,,,,,,,,,,,134.4849721880164,135.48637027404038,135.47360302199377,None,right,0.5639328769757412,135.47360302199377,None,,,,,,,,,,,,,,,7,001,2021_Dec_01_1516,Project_RL,2021.2.3,None,
HOME,word,left,,,,0,8,8,9,,,,,,,,,,,136.061363574001,137.0652844189899,137.0511415040237,None,left,0.5003476499696262,137.0511415040237,None,,,,,,,,,,,,,,,7,001,2021_Dec_01_1516,Project_RL,2021.2.3,None,
