stimulusWord,theCondition,corrResp,stimulusWord_2,theCondition_2,corrResp_2,Conditions_1.thisRepN,Conditions_1.thisTrialN,Conditions_1.thisN,Conditions_1.thisIndex,Conditions_2.thisRepN,Conditions_2.thisTrialN,Conditions_2.thisN,Conditions_2.thisIndex,Instruction_image.started,Instruction_image.stopped,Begin_task.keys,Begin_task.rt,Begin_task.started,Begin_task.stopped,Warning_signal_1.started,Warning_signal_1.stopped,The_word_1.started,The_word_1.stopped,Response_1.keys,Response_1.rt,Response_1.started,Response_1.stopped,Warning_signal_2.started,Warning_signal_2.stopped,The_word_2.started,The_word_2.stopped,Response_2.keys,Response_2.rt,Response_2.started,Response_2.stopped,The_end_text.started,The_end_text.stopped,End_task.keys,End_task.rt,End_task.started,End_task.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,16.702886206039693,None,space,95.44934128498426,16.702886206039693,None,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1512,Project_RL,2021.2.3,None,
PYSK,nonword,right,,,,0,0,0,14,,,,,,,,,,,112.20605124701979,113.21489817398833,113.19849353702739,None,left,1.4524563209852204,113.19849353702739,None,,,,,,,,,,,,,,,6,001,2021_Dec_01_1512,Project_RL,2021.2.3,None,
DRIN,nonword,right,,,,0,1,1,15,,,,,,,,,,,114.68431082100142,115.68736929201987,115.66467099200236,None,right,0.7030167379998602,115.66467099200236,None,,,,,,,,,,,,,,,6,001,2021_Dec_01_1512,Project_RL,2021.2.3,None,
DATA,word,left,,,,0,2,2,6,,,,,,,,,,,116.3921186630032,117.40223999100272,117.37402957602171,None,left,1.041724507987965,117.37402957602171,None,,,,,,,,,,,,,,,6,001,2021_Dec_01_1512,Project_RL,2021.2.3,None,
PLANT,word,left,,,,0,3,3,1,,,,,,,,,,,118.44005307502812,119.43851902498864,119.42842678900342,None,left,0.8140821170527488,119.42842678900342,None,,,,,,,,,,,,,,,6,001,2021_Dec_01_1512,Project_RL,2021.2.3,None,
POKV,nonword,right,,,,0,4,4,10,,,,,,,,,,,120.27677309303544,121.28477678401396,121.25879476300906,None,right,0.829802269989159,121.25879476300906,None,,,,,,,,,,,,,,,6,001,2021_Dec_01_1512,Project_RL,2021.2.3,None,
HOME,word,left,,,,0,5,5,9,,,,,,,,,,,122.11308507202193,123.1186441120226,123.09449621400563,None,left,0.9978671480203047,123.09449621400563,None,,,,,,,,,,,,,,,6,001,2021_Dec_01_1512,Project_RL,2021.2.3,None,
STRI,nonword,right,,,,0,6,6,13,,,,,,,,,,,124.11907160299597,125.11911467200844,125.09550205501728,None,right,0.537096626998391,125.09550205501728,None,,,,,,,,,,,,,,,6,001,2021_Dec_01_1512,Project_RL,2021.2.3,None,
CAFO,nonword,right,,,,0,7,7,16,,,,,,,,,,,125.65169042401249,126.6495426580077,126.63664268801222,None,left,0.5447919830330648,126.63664268801222,None,,,,,,,,,,,,,,,6,001,2021_Dec_01_1512,Project_RL,2021.2.3,None,
KAFF,nonword,right,,,,0,8,8,12,,,,,,,,,,,127.19725989800645,128.2001106539974,128.17204998800298,None,right,0.561331735982094,128.17204998800298,None,,,,,,,,,,,,,,,6,001,2021_Dec_01_1512,Project_RL,2021.2.3,None,
