stimulusWord,theCondition,corrResp,stimulusWord_2,theCondition_2,corrResp_2,Conditions_1.thisRepN,Conditions_1.thisTrialN,Conditions_1.thisN,Conditions_1.thisIndex,Conditions_2.thisRepN,Conditions_2.thisTrialN,Conditions_2.thisN,Conditions_2.thisIndex,Instruction_image.started,Instruction_image.stopped,Begin_task.keys,Begin_task.rt,Begin_task.started,Begin_task.stopped,Warning_signal_1.started,Warning_signal_1.stopped,The_word_1.started,The_word_1.stopped,Response_1.keys,Response_1.rt,Response_1.started,Response_1.stopped,Warning_signal_2.started,Warning_signal_2.stopped,The_word_2.started,The_word_2.stopped,Response_2.keys,Response_2.rt,Response_2.started,Response_2.stopped,The_end_text.started,The_end_text.stopped,End_task.keys,End_task.rt,End_task.started,End_task.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,11.109870444983244,None,space,60.097366226953454,11.109870444983244,None,,,,,,,,,,,,,,,,,,,,,,,2,001,2021_Dec_01_1459,Project_RL,2021.2.3,123.99855202078399,
PYSK,nonword,right,,,,0,0,0,14,,,,,,,,,,,71.24620744097047,72.27029273699736,72.2544650780037,None,right,0.5957794060232118,72.2544650780037,None,,,,,,,,,,,,,,,2,001,2021_Dec_01_1459,Project_RL,2021.2.3,123.99855202078399,
DRIN,nonword,right,,,,0,1,1,15,,,,,,,,,,,72.88567125599366,73.9039281180012,73.88710971397813,None,left,0.6090313059976324,73.88710971397813,None,,,,,,,,,,,,,,,2,001,2021_Dec_01_1459,Project_RL,2021.2.3,123.99855202078399,
CAFE,word,left,,,,0,2,2,5,,,,,,,,,,,74.52082528499886,75.52828656497877,75.51841219398193,None,right,0.5196516669820994,75.51841219398193,None,,,,,,,,,,,,,,,2,001,2021_Dec_01_1459,Project_RL,2021.2.3,123.99855202078399,
HOME,word,left,,,,0,3,3,9,,,,,,,,,,,76.06745286297519,77.08699584600981,77.0600140549941,None,left,0.8280633820104413,77.0600140549941,None,,,,,,,,,,,,,,,2,001,2021_Dec_01_1459,Project_RL,2021.2.3,123.99855202078399,
XLFE,nonword,right,,,,0,4,4,11,,,,,,,,,,,77.91484307695646,78.92295006697532,78.91248626500601,None,right,0.4285964140435681,78.91248626500601,None,,,,,,,,,,,,,,,2,001,2021_Dec_01_1459,Project_RL,2021.2.3,123.99855202078399,
BOAT,word,left,,,,0,5,5,8,,,,,,,,,,,79.37201383698266,80.37540430796798,80.36596830497729,None,left,0.5110972370021045,80.36596830497729,None,,,,,,,,,,,,,,,2,001,2021_Dec_01_1459,Project_RL,2021.2.3,123.99855202078399,
NURSE,word,left,,,,0,6,6,3,,,,,,,,,,,80.8950642629643,81.90884597296827,81.89652454899624,None,left,0.5213055990170687,81.89652454899624,None,,,,,,,,,,,,,,,2,001,2021_Dec_01_1459,Project_RL,2021.2.3,123.99855202078399,
NIGHT,word,left,,,,0,7,7,4,,,,,,,,,,,82.4391729659983,83.45225163100986,83.44014690298354,None,left,0.6447403630008921,83.44014690298354,None,,,,,,,,,,,,,,,2,001,2021_Dec_01_1459,Project_RL,2021.2.3,123.99855202078399,
KAFF,nonword,right,,,,0,8,8,12,,,,,,,,,,,84.12075855396688,85.13719694997417,85.13719694997417,None,left,0.500449672981631,85.13719694997417,None,,,,,,,,,,,,,,,2,001,2021_Dec_01_1459,Project_RL,2021.2.3,123.99855202078399,
