stimulusWord,theCondition,corrResp,stimulusWord_2,theCondition_2,corrResp_2,Conditions_1.thisRepN,Conditions_1.thisTrialN,Conditions_1.thisN,Conditions_1.thisIndex,Conditions_2.thisRepN,Conditions_2.thisTrialN,Conditions_2.thisN,Conditions_2.thisIndex,Instruction_image.started,Instruction_image.stopped,Begin_task.keys,Begin_task.rt,Begin_task.started,Begin_task.stopped,Warning_signal_1.started,Warning_signal_1.stopped,The_word_1.started,The_word_1.stopped,Response_1.keys,Response_1.rt,Response_1.started,Response_1.stopped,Warning_signal_2.started,Warning_signal_2.stopped,The_word_2.started,The_word_2.stopped,Response_2.keys,Response_2.rt,Response_2.started,Response_2.stopped,The_end_text.started,The_end_text.stopped,End_task.keys,End_task.rt,End_task.started,End_task.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,12.861334268003702,None,space,35.527288270008285,12.861334268003702,None,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
CAFO,nonword,right,,,,0,0,0,16,,,,,,,,,,,48.44973298703553,49.45521483203629,49.430017277016304,None,right,0.7480781459598802,49.430017277016304,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
BOAT,word,left,,,,0,1,1,8,,,,,,,,,,,50.209259072027635,51.20524966903031,51.180715109047014,None,left,0.6394517800072208,51.180715109047014,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
GIRL,word,left,,,,0,2,2,0,,,,,,,,,,,51.85448856104631,52.87789986201096,52.8609352040221,None,left,0.4341028049821034,52.8609352040221,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
STRI,nonword,right,,,,0,3,3,13,,,,,,,,,,,53.32061140204314,54.31740879901918,54.306170238996856,None,right,0.5678018649923615,54.306170238996856,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
TRFIC,nonword,right,,,,0,4,4,17,,,,,,,,,,,54.89909673499642,55.901303812046535,55.877905079047196,None,left,0.49280056200223044,55.877905079047196,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
POKV,nonword,right,,,,0,5,5,10,,,,,,,,,,,56.39781461801613,57.396106429048814,57.38335335999727,None,right,0.7035392860416323,57.38335335999727,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
PYSK,nonword,right,,,,0,6,6,14,,,,,,,,,,,58.11194075003732,59.11128456599545,59.09467245603446,None,right,0.5261520760250278,59.09467245603446,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
NIGHT,word,left,,,,0,7,7,4,,,,,,,,,,,59.63895945204422,60.64595391601324,60.63168586604297,None,left,0.5491708270274103,60.63168586604297,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
PLANT,word,left,,,,0,8,8,1,,,,,,,,,,,61.20475352200447,62.204281922022346,62.19290176202776,None,left,0.4749018130241893,62.19290176202776,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
BONE,word,left,,,,0,9,9,2,,,,,,,,,,,62.690511408029124,63.69445359002566,63.69445359002566,None,left,0.5999980380292982,63.69445359002566,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
XLFE,nonword,right,,,,0,10,10,11,,,,,,,,,,,64.31972601503367,65.3175329490332,65.30559444404207,None,right,0.7019758730311878,65.30559444404207,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
DRIN,nonword,right,,,,0,11,11,15,,,,,,,,,,,66.03940280800452,67.04619619401637,67.0312947560451,None,right,0.695355580013711,67.0312947560451,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
DATA,word,left,,,,0,12,12,6,,,,,,,,,,,67.74684677203186,68.74479575100122,68.73011839104583,None,left,0.49538342002779245,68.73011839104583,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
NURSE,word,left,,,,0,13,13,3,,,,,,,,,,,69.25753697799519,70.26246141502634,70.24812963104341,None,left,0.525328597985208,70.24812963104341,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
FRIND,nonword,right,,,,0,14,14,19,,,,,,,,,,,70.79250065004453,71.78868718800368,71.777565589,None,right,0.6030021799961105,71.777565589,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
CAFE,word,left,,,,0,15,15,5,,,,,,,,,,,72.39655756100547,73.40099068003474,73.37763016700046,None,left,0.8777781439712271,73.37763016700046,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
GLIR,nonword,right,,,,0,16,16,18,,,,,,,,,,,74.27108784101438,75.27631838800153,75.2487383960397,None,right,0.9585193449747749,75.2487383960397,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
HOME,word,left,,,,0,17,17,9,,,,,,,,,,,76.23136038903613,77.2320556420018,77.20834841602482,None,left,0.5419697050238028,77.20834841602482,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
FRIEND,word,left,,,,0,18,18,7,,,,,,,,,,,77.76650399999926,78.77764415799174,78.76055631903,None,left,0.5576463580364361,78.76055631903,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
KAFF,nonword,right,,,,0,19,19,12,,,,,,,,,,,79.33189880702412,80.33210427500308,80.30611178401159,None,right,0.6150571649777703,80.30611178401159,None,,,,,,,,,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
,,,CAFE SHOP,word,left,,,,,0,0,0,5,,,,,,,,,,,,,,,80.95762813702459,81.95428535004612,81.94344097503927,None,left,0.9676857650047168,81.94344097503927,None,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
,,,BOAT SEAT,word,left,,,,,0,1,1,8,,,,,,,,,,,,,,,82.93550187902292,83.93750987603562,83.92560289200628,None,left,0.6164086239878088,83.92560289200628,None,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
,,,HOME DECOR,word,left,,,,,0,2,2,9,,,,,,,,,,,,,,,84.56704005604843,85.57761867600493,85.56096905103186,None,left,0.8560441440204158,85.56096905103186,None,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
,,,KAFF DRINK,nonword,right,,,,,0,3,3,12,,,,,,,,,,,,,,,86.44255254301243,87.4372337370296,87.42785160301719,None,right,0.6401994210318662,87.42785160301719,None,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
,,,HOLE BALL,word,left,,,,,0,4,4,7,,,,,,,,,,,,,,,88.11348631500732,89.12038250704063,89.10887274501147,None,right,0.6721160759916529,89.10887274501147,None,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
,,,AREA CANDLE,word,left,,,,,0,5,5,3,,,,,,,,,,,,,,,89.80402353900718,90.80926177999936,90.78202555904863,None,left,0.9829072909778915,90.78202555904863,None,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
,,,GIRL CURL,word,left,,,,,0,6,6,0,,,,,,,,,,,,,,,91.78434254002059,92.78254476102302,92.77024969999911,None,left,1.3096374309970997,92.77024969999911,None,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
,,,PLANT TREE,word,left,,,,,0,7,7,1,,,,,,,,,,,,,,,94.10990939399926,95.115188167023,95.1010173940449,None,left,0.685689281031955,95.1010173940449,None,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
,,,POKV GAME,nonword,right,,,,,0,8,8,10,,,,,,,,,,,,,,,95.81215284200152,96.8271245470387,96.78720979200443,None,right,0.6684784649987705,96.78720979200443,None,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
,,,DANCE CAFO,nonword,right,,,,,0,9,9,17,,,,,,,,,,,,,,,97.4814635720104,98.48446185700595,98.45915188104846,None,right,0.9385785509948619,98.45915188104846,None,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
,,,DUST GLIR,nonword,right,,,,,0,10,10,16,,,,,,,,,,,,,,,99.42187991604442,100.43072017002851,100.40180469001643,None,right,1.0718182160053402,100.40180469001643,None,,,,,,,4,001,2021_Dec_01_1504,Project_RL,2021.2.3,None,
