stimulusWord,theCondition,corrResp,stimulusWord_2,theCondition_2,corrResp_2,Conditions_1.thisRepN,Conditions_1.thisTrialN,Conditions_1.thisN,Conditions_1.thisIndex,Conditions_2.thisRepN,Conditions_2.thisTrialN,Conditions_2.thisN,Conditions_2.thisIndex,Instruction_image.started,Instruction_image.stopped,Begin_task.keys,Begin_task.rt,Begin_task.started,Begin_task.stopped,Warning_signal_1.started,Warning_signal_1.stopped,The_word_1.started,The_word_1.stopped,Response_1.keys,Response_1.rt,Response_1.started,Response_1.stopped,Warning_signal_2.started,Warning_signal_2.stopped,The_word_2.started,The_word_2.stopped,Response_2.keys,Response_2.rt,Response_2.started,Response_2.stopped,The_end_text.started,The_end_text.stopped,End_task.keys,End_task.rt,End_task.started,End_task.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,35.41257571103051,None,space,40.68885804200545,35.41257571103051,None,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1502,Project_RL,2021.2.3,None,
BOAT,word,left,,,,0,0,0,8,,,,,,,,,,,76.16174858802697,77.18729386600899,77.17195469600847,None,left,0.7030379259958863,77.17195469600847,None,,,,,,,,,,,,,,,3,001,2021_Dec_01_1502,Project_RL,2021.2.3,None,
KAFF,nonword,right,,,,0,1,1,12,,,,,,,,,,,77.91296498902375,78.92633358301828,78.90285619400674,None,right,0.762168952031061,78.90285619400674,None,,,,,,,,,,,,,,,3,001,2021_Dec_01_1502,Project_RL,2021.2.3,None,
DATA,word,left,,,,0,2,2,6,,,,,,,,,,,79.68656749802176,80.69203588698292,80.68115266802488,None,left,0.4727297829813324,80.68115266802488,None,,,,,,,,,,,,,,,3,001,2021_Dec_01_1502,Project_RL,2021.2.3,None,
POKV,nonword,right,,,,0,3,3,10,,,,,,,,,,,81.17523086699657,82.18731688999105,82.17574240203248,None,left,0.4780809740186669,82.17574240203248,None,,,,,,,,,,,,,,,3,001,2021_Dec_01_1502,Project_RL,2021.2.3,None,
CAFO,nonword,right,,,,0,4,4,16,,,,,,,,,,,82.68391063099261,83.68687914602924,83.67480247298954,None,left,0.5030864130239934,83.67480247298954,None,,,,,,,,,,,,,,,3,001,2021_Dec_01_1502,Project_RL,2021.2.3,None,
TRFIC,nonword,right,,,,0,5,5,17,,,,,,,,,,,84.19823776802514,85.21441208402393,85.20379465899896,None,right,0.6199792200350203,85.20379465899896,None,,,,,,,,,,,,,,,3,001,2021_Dec_01_1502,Project_RL,2021.2.3,None,
NURSE,word,left,,,,0,6,6,3,,,,,,,,,,,85.85257399699185,86.87100013700547,86.85708965198137,None,left,0.507663011958357,86.85708965198137,None,,,,,,,,,,,,,,,3,001,2021_Dec_01_1502,Project_RL,2021.2.3,None,
HOME,word,left,,,,0,7,7,9,,,,,,,,,,,87.39412467897637,88.3972460749792,88.3870006389916,None,left,0.4776169320102781,88.3870006389916,None,,,,,,,,,,,,,,,3,001,2021_Dec_01_1502,Project_RL,2021.2.3,None,
BONE,word,left,,,,0,8,8,2,,,,,,,,,,,88.8790054860292,89.88175309402868,89.88175309402868,None,left,0.4280194080201909,89.88175309402868,None,,,,,,,,,,,,,,,3,001,2021_Dec_01_1502,Project_RL,2021.2.3,None,
NIGHT,word,left,,,,0,9,9,4,,,,,,,,,,,90.33685179700842,91.35397846798878,91.33980768901529,None,left,0.4918668679893017,91.33980768901529,None,,,,,,,,,,,,,,,3,001,2021_Dec_01_1502,Project_RL,2021.2.3,None,
GLIR,nonword,right,,,,0,10,10,18,,,,,,,,,,,91.8537778169848,92.86313610698562,92.85157856403384,None,right,0.5270392349921167,92.85157856403384,None,,,,,,,,,,,,,,,3,001,2021_Dec_01_1502,Project_RL,2021.2.3,None,
STRI,nonword,right,,,,0,11,11,13,,,,,,,,,,,93.39833587501198,94.40946683299262,94.39776347199222,None,right,0.4157840089756064,94.39776347199222,None,,,,,,,,,,,,,,,3,001,2021_Dec_01_1502,Project_RL,2021.2.3,None,
